<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
20230703,10:15:00,108821,108834,108803,108820,99,0,0
20230703,10:16:00,108820,108843,108815,108838,72,0,0
20230703,10:17:00,108839,108843,108820,108820,135,0,0
20230703,10:18:00,108820,108828,108801,108805,66,0,0
20230703,10:19:00,108805,108822,108797,108820,120,0,5
20230703,10:20:00,108820,108826,108808,108810,97,0,0
20230703,10:21:00,108808,108823,108807,108814,115,0,0
20230703,10:22:00,108813,108817,108794,108805,96,0,0
20230703,10:23:00,108804,108809,108800,108808,84,0,0
20230703,10:24:00,108804,108813,108793,108811,90,0,0
20230703,10:25:00,108812,108830,108800,108801,100,0,0
20230703,10:26:00,108800,108811,108791,108811,60,0,0
20230703,10:27:00,108811,108811,108800,108807,46,0,0
20230703,10:28:00,108807,108815,108793,108800,39,0,0
20230703,10:29:00,108799,108815,108799,108802,63,0,0
20230703,10:30:00,108803,108816,108798,108813,114,0,0
20230703,10:31:00,108814,108831,108811,108820,73,0,0
20230703,10:32:00,108818,108821,108803,108809,84,0,0
20230703,10:33:00,108809,108817,108804,108810,53,0,0
20230703,10:34:00,108810,108816,108797,108811,49,0,0
20230703,10:35:00,108811,108816,108802,108816,59,0,0
20230703,10:36:00,108816,108834,108814,108826,72,0,0
20230703,10:37:00,108827,108836,108802,108806,79,0,0
20230703,10:38:00,108806,108806,108792,108792,43,0,0
20230703,10:39:00,108791,108804,108790,108800,52,0,0
20230703,10:40:00,108799,108800,108781,108795,80,0,0
20230703,10:41:00,108795,108805,108789,108801,76,0,0
20230703,10:42:00,108801,108810,108790,108793,80,0,0
20230703,10:43:00,108793,108799,108780,108787,89,0,0
20230703,10:44:00,108786,108807,108786,108804,62,0,0
20230703,10:45:00,108804,108804,108771,108772,96,0,0
20230703,10:46:00,108772,108776,108751,108759,91,0,0
20230703,10:47:00,108758,108761,108746,108753,77,0,0
20230703,10:48:00,108753,108753,108720,108721,101,0,0
20230703,10:49:00,108722,108724,108715,108717,75,0,0
20230703,10:50:00,108721,108747,108717,108745,106,0,0
20230703,10:51:00,108745,108745,108723,108731,50,0,0
20230703,10:52:00,108731,108732,108720,108722,61,0,0
20230703,10:53:00,108722,108731,108718,108727,71,0,0
20230703,10:54:00,108727,108746,108720,108739,71,0,0
